violating_intervals,worst_excursion_psi,rate_last30,offset,max_move,parameter,value
0,0.0,164.90308495929952,-0.25710945529189644,5.0,prediction horizon P [h],5.0
0,0.0,164.89852454681804,-0.2677806400876932,5.0,prediction horizon P [h],10.0
0,0.0,164.94149841965555,-0.23034621015384005,5.0,prediction horizon P [h],15.0
0,0.0,164.9163402847138,-0.2584462400182588,5.0,prediction horizon P [h],20.0
0,0.0,164.9129884536913,-0.26417135784939205,5.0,prediction horizon P [h],25.0
0,0.0,164.9069771711692,-0.2708306516918242,5.0,prediction horizon P [h],30.0
0,0.0,164.89190230380325,-0.2859324122348994,5.0,prediction horizon P [h],40.0
0,0.0,164.91480731535114,-0.26222796253904335,5.0,prediction horizon P [h],50.0
13,0.25933150190212473,166.10605320304765,-0.2227169068621322,5.0,constraint back-off [psi],0.0
0,0.0,165.86966685527415,-0.23198470994552167,5.0,constraint back-off [psi],1.0
0,0.0,165.61445026214162,-0.257691364534935,5.0,constraint back-off [psi],2.0
0,0.0,165.40777440673628,-0.23768154183036927,5.0,constraint back-off [psi],3.0
0,0.0,164.89190230380325,-0.2859324122348994,5.0,constraint back-off [psi],5.0
0,0.0,164.19710698329428,-0.20927166884226267,5.0,constraint back-off [psi],8.0
0,0.0,161.09842126481098,-0.20639720927675853,5.0,constraint back-off [psi],12.0
0,0.0,164.89190230380325,-0.2859324122348994,5.0,noise multiplier [x],1.0
0,0.0,164.7652085872111,-0.4900942098248606,5.0,noise multiplier [x],2.0
0,0.0,164.5709722439304,-0.7586329499151816,5.0,noise multiplier [x],3.0
0,0.0,164.2772184987982,-1.1993526907567116,5.0,noise multiplier [x],5.0
0,0.0,163.94805275373685,-1.7554166336309436,5.0,noise multiplier [x],8.0
58,4.832694060083213,167.39228018777513,,5.0,noise multiplier [x],12.0
0,0.0,165.3595656289741,-0.009443208016818971,0.5,ramp-rate limit [%/interval],0.5
0,0.0,164.98229562892112,-0.24445920203487503,1.000000000000007,ramp-rate limit [%/interval],1.0
0,0.0,164.91784086780712,-0.2692854460534875,2.0,ramp-rate limit [%/interval],2.0
0,0.0,164.9445971135954,-0.23554227094089697,3.0,ramp-rate limit [%/interval],3.0
0,0.0,164.89190230380325,-0.2859324122348994,5.0,ramp-rate limit [%/interval],5.0
0,0.0,164.70035531158877,-0.47787915202067666,10.0,ramp-rate limit [%/interval],10.0
