backoff_mode,WHP_min,WHP_max,FLP_min,FLP_max,BHP_min,BHP_max,binding_constraint,max_safe_rate,achieved_rate,pct_of_max_safe,violating_intervals,max_abs_move_pct
fixed 5 psi (submitted),218.21770123928727,308.0936014129161,126.63894095744779,200.24791453292795,2912.6540478400543,3386.913336591658,BHP_min,151.72818244223947,150.33971260247466,99.08489654498209,0,5.0
fixed 5 psi (submitted),216.3981465460308,321.88489682951996,146.7449996586169,214.02608635681653,2913.1707108243063,3250.410775025522,BHP_min,151.56939119251,150.170958216913,99.07736452287992,0,5.0
fixed 5 psi (submitted),231.44425659525416,301.0075672591639,154.18621785719776,202.63483430903838,2922.6357844699774,3331.2191830373636,WHP_min,144.39181627322412,139.44097944720266,96.57124832015876,0,5.0
fixed 5 psi (submitted),197.9827134322431,312.68061663592977,126.13278684581852,201.86424914749347,2884.124882938726,3347.0784267361373,BHP_min,158.3043180270987,157.03360630785053,99.19729813116616,0,5.0
fixed 5 psi (submitted),216.92310668887524,311.5103266278565,164.88839743156845,214.71253008164345,2887.108396896139,3347.5688914401726,FLP_min,142.62296992934978,133.79212246968956,93.80825720847442,0,5.0
fixed 5 psi (submitted),221.3068038342564,311.66764271937313,130.40386020089645,210.82232510291124,2855.070864495145,3296.5362813338434,WHP_min,153.3840767291592,148.8039830938156,97.01397059394176,0,5.0
fixed 5 psi (submitted),209.15012152990735,326.68463503047,162.36174063824998,205.36692795063607,2864.305966145952,3298.2804086613914,FLP_min,146.7164423353556,138.3059621444243,94.2675271721031,0,5.0
fixed 5 psi (submitted),215.65800181198182,310.137336765214,140.66476002112645,213.35411528007188,2795.431518706676,3343.478071702906,WHP_min,158.15338729766822,153.75390919870568,97.21822075762306,0,5.000000000000002
fixed 5 psi (submitted),185.0409206149431,324.97932442960195,156.48393229954735,203.59054164489427,2925.296846162141,3258.785205220779,BHP_min,148.84071318864906,147.46407366150137,99.07509209163567,0,5.0
fixed 5 psi (submitted),200.1670236327396,304.5083840068452,143.01357466597148,211.94486405430942,2796.1284417987495,3257.8031951596613,WHP_min,170.09500010257415,166.33784782472097,97.79114478639144,0,5.0
fixed 5 psi (submitted),204.2731103892917,305.9553913352777,128.63012182476487,208.70498578980275,2809.7392265637845,3350.7992316934537,WHP_min,167.04139081433934,163.03630906403916,97.6023417125689,0,5.0
fixed 5 psi (submitted),191.9709266380928,328.26339331519495,139.60440672979314,201.58242919355345,2875.8216303079416,3389.07318296018,BHP_min,160.25017244044162,158.77844895247406,99.08160879607507,0,5.0
fixed 5 psi (submitted),206.42262928294704,328.6377148107221,144.99583254750587,206.37842937273612,2874.0426904030755,3399.2644757852986,BHP_min,160.69496783871273,159.27779970596734,99.11810049075851,0,5.0
fixed 5 psi (submitted),236.9366204962659,313.8013541792729,155.30915381233166,207.46134043231427,2855.862432039354,3367.867855107071,WHP_min,139.19306394108094,133.75611184253995,96.09394897662258,0,5.0
fixed 5 psi (submitted),204.87935096134024,322.0345071536619,153.44571511959,213.98089529920068,2772.986526656181,3359.3522675614463,FLP_min,159.87829926646697,152.53367538304948,95.4061158286552,0,5.0
