Time_hr,Q_true,WHP_true,FLP_true,BHP_true,Q_target,Q_achievable,OilRate_bbl_hr,WHP_psi,FLP_psi,BHP_psi,Q_seen,WHP_seen,FLP_seen,BHP_seen,Choke_pct,Choke_cmd,dChoke,u_tracking_error,mode,active_constraints,u_ss,n_feasible,n_candidates,bad_tags,WHT_F,AP_psi,Pr_psi,water_cut
1.0,97.87073947721376,269.579348022363,187.20665089523868,3146.2464972148373,100.0,99.97096957589415,98.9505639068463,270.1514309583816,187.06021061864817,3148.1810136816566,97.7375198913256,269.4045094772451,187.11176140547366,3140.6293714817944,32.75,32.75,0.75,0.0,TRACKING,,32.85,451,451,,139.03793375300242,246.63276813550846,3568.8,0.0
2.0,98.07887670025266,269.5011906983415,187.12812217926773,3145.7946180155186,100.0,99.99218232314495,98.24760310213125,269.22427928012945,187.56802753227444,3145.018226648871,98.9505639068463,270.1514309583816,187.06021061864817,3148.1810136816566,32.75,32.75,0.0,0.0,TRACKING,,32.800000000000004,451,451,,139.06904974693614,246.74167411427652,3568.8,0.0
3.0,98.25451351341772,269.4306005370668,187.0603474797779,3145.3749327527644,100.0,99.94781888747158,98.05721917098295,269.0345271593874,187.2650786118363,3145.126937623471,98.24760310213125,269.22427928012945,187.56802753227444,3145.018226648871,32.75,32.75,0.0,0.0,TRACKING,,32.800000000000004,451,451,,139.0986481959385,246.84526868578473,3568.8,0.0
4.0,98.48471226566375,269.33748807191523,186.97142203443818,3144.8234201003397,100.0,99.94876135292547,98.81188549404256,269.0338952219799,187.0284945656385,3142.592734991765,98.05721917098295,269.0345271593874,187.2650786118363,3145.126937623471,33.0,33.0,0.25,0.0,TRACKING,,32.85,451,451,,139.13752692936944,246.98134425279306,3568.8,0.0
5.0,98.67896572330457,269.25339072065583,186.89467437263855,3144.3111997264127,100.0,100.03347369624049,99.18384470672666,269.34740826414617,187.04343132629944,3145.3374595088385,98.81188549404256,269.0338952219799,187.0284945656385,3142.592734991765,33.0,33.0,0.0,0.0,TRACKING,,32.9,451,451,,139.17450952459626,247.1107833360869,3568.8,0.0
6.0,98.84288670652992,269.1774356433487,186.82843682309118,3143.8354722697304,100.0,100.03585136393546,98.23643220643793,269.56902614142075,187.75395309134524,3139.739366011642,99.18384470672666,269.34740826414617,187.04343132629944,3145.3374595088385,33.0,33.0,0.0,0.0,TRACKING,,32.9,451,451,,139.20968845737042,247.23390960079647,3568.8,0.0
7.0,98.9812115995223,269.10883450808893,186.7712700916604,3143.3936378083126,100.0,99.97037185072976,97.94356471922961,268.3564188011568,187.1499265937147,3143.715426951998,98.23643220643793,269.56902614142075,187.75395309134524,3139.739366011642,33.0,33.0,0.0,0.0,TRACKING,,32.95,451,451,,139.24315169334773,247.35103092671704,3568.8,0.0
8.0,99.09793720502361,269.0468753089705,186.72193198654008,3142.983281650487,100.0,99.96644483740614,99.74494266946719,269.4080907451243,186.81668930210895,3143.693377013613,97.94356471922961,268.3564188011568,187.1499265937147,3143.715426951998,33.0,33.0,0.0,0.0,TRACKING,,33.050000000000004,451,451,,139.27498290804834,247.4624401781692,3568.8,0.0
9.0,99.19643622920432,268.99091497623175,186.67935042632251,3142.6021611382357,100.0,100.03607194250058,99.09457993057045,269.4251450818375,186.17097824352118,3141.54751407279,99.74494266946719,269.4080907451243,186.81668930210895,3143.693377013613,33.0,33.0,0.0,0.0,TRACKING,,33.050000000000004,451,451,,139.3052616960892,247.56841593631216,3568.8,0.0
10.0,99.27955473369083,268.9403727018836,186.64260014444318,3142.2481933907357,100.0,99.98155874671303,99.42531804555007,269.84108313110823,186.298591292369,3139.5505422428932,99.09457993057045,269.4251450818375,186.17097824352118,3141.54751407279,33.0,33.0,0.0,0.0,TRACKING,,33.050000000000004,451,451,,139.33406377021186,247.6692231957415,3568.8,0.0
11.0,99.34969437056073,268.8947239115483,186.6108825838064,3141.9194439210987,100.0,99.97167947754815,99.0117220514583,269.3793600121174,186.50513010570506,3145.2303114691913,99.42531804555007,269.84108313110823,186.298591292369,3139.5505422428932,33.0,33.0,0.0,0.0,TRACKING,,33.050000000000004,451,451,,139.361461150604,247.76511402711395,3568.8,0.0
12.0,99.40888177642941,268.8534948199423,186.58350854471598,3141.6141160641123,100.0,99.99482674031542,98.28536406586579,269.4177563908925,187.04919835268427,3138.0674518396086,99.0117220514583,269.3793600121174,186.50513010570506,3145.2303114691913,33.0,33.0,0.0,0.0,TRACKING,,33.1,451,451,,139.38752234498722,247.85632820745525,3568.8,0.0
13.0,99.5406958440999,268.78664837186363,186.52939995930188,3141.1690476807103,100.0,100.01662297462782,99.63284497602147,269.3945271894609,186.56896352834116,3143.6683012360895,98.28536406586579,269.4177563908925,187.04919835268427,3138.0674518396086,33.25,33.25,0.25,0.0,TRACKING,,33.2,451,451,,139.4229475333978,247.9803163668923,3568.8,0.0
