Time_hr,Q_true,WHP_true,FLP_true,BHP_true,Q_target,Q_achievable,OilRate_bbl_hr,WHP_psi,FLP_psi,BHP_psi,Q_seen,WHP_seen,FLP_seen,BHP_seen,Choke_pct,Choke_cmd,dChoke,u_tracking_error,mode,active_constraints,u_ss,n_feasible,n_candidates,bad_tags,WHT_F,AP_psi,Pr_psi,water_cut
1.0,52.35773819217697,283.52193873885,204.76578650071787,3346.251244106606,100.0,99.97096957589415,52.900951712180834,283.745126025032,204.52415754480575,3347.704039367097,50.94260114177106,284.02886371585384,205.43969668428252,3346.1938551850094,15.0,15.0,5.0,0.0,RECOVERY,,32.85,0,451,,111.0079468984608,148.52781414461282,3568.8,0.0
2.0,55.39771993108579,283.21520703816606,203.76681111591688,3339.9828670296674,100.0,100.02128232956653,55.61646336879743,283.3622732864938,203.77960112450899,3341.3496494961987,52.900951712180834,283.745126025032,204.52415754480575,3347.704039367097,20.0,20.0,5.0,0.0,RECOVERY,,32.85,0,451,,111.72574554432421,151.04010940513473,3568.8,0.0
3.0,59.65143523408071,282.59127690814944,202.33847948266813,3330.830508894803,100.0,100.04782183476523,59.20956278187971,282.5098219341529,202.12152579196214,3332.32762442639,55.61646336879743,283.3622732864938,203.77960112450899,3341.3496494961987,25.0,25.0,5.0,0.0,RECOVERY,,32.9,0,451,,112.70861039597565,154.4801363859148,3568.8,0.0
4.0,64.9184601277862,281.5589970897756,200.5191161637885,3319.0211403866815,100.0,99.98226515469115,64.9422933922752,281.412768714293,200.16725735572794,3318.3781597851344,59.20956278187971,282.5098219341529,202.12152579196214,3332.32762442639,30.0,30.0,5.0,0.0,RECOVERY,,33.0,0,451,,113.89979767072273,158.64929184752958,3568.8,0.0
5.0,71.00548917176133,280.0478588579004,198.34179741292448,3304.8132540014235,100.0,100.00909224821208,71.01037448007233,279.9100574052507,198.92412612940367,3307.330064789688,64.9422933922752,281.412768714293,200.16725735572794,3318.3781597851344,35.0,35.0,5.0,0.0,RECOVERY,,33.15,0,451,,115.25029163384426,163.3760207184549,3568.8,0.0
6.0,76.22287572925359,278.65147800102875,196.4317561350239,3291.4581365867407,100.0,99.95373827128704,74.596178241874,277.7069713780449,196.35310869359907,3290.4026605577997,71.01037448007233,279.9100574052507,198.92412612940367,3307.330064789688,35.25,35.25,0.25,0.0,TRACKING,,33.300000000000004,451,451,,116.54487114678554,167.90704901374937,3568.8,0.0
7.0,80.70627584952855,277.3585109626076,194.75233916917162,3278.895304646838,100.0,100.04893195571874,80.83446164802771,277.4671719281189,195.7053666089446,3276.1152527401077,74.596178241874,277.7069713780449,196.35310869359907,3290.4026605577997,35.5,35.5,0.25,0.0,TRACKING,,33.65,451,451,,117.78618070028469,172.2516324509964,3568.8,0.0
8.0,84.48959772618201,276.1907285070588,193.3029078525962,3267.2275061918967,100.0,100.04531406305634,84.26303472190581,277.21211431080496,193.59392420088705,3268.8851646228372,80.83446164802771,277.4671719281189,195.7053666089446,3276.1152527401077,35.5,35.5,0.0,0.0,TRACKING,,33.800000000000004,451,451,,118.96695087248693,176.38432805370428,3568.8,0.0
9.0,87.68215784537271,275.1360103101023,192.0519670891132,3256.3909749514582,100.0,100.02177529305646,87.37375402236023,274.31197272467443,192.12732622401342,3256.663510171012,84.26303472190581,277.21211431080496,193.59392420088705,3268.8851646228372,35.5,35.5,0.0,0.0,TRACKING,,33.95,451,451,,120.09013420385847,180.31546971350463,3568.8,0.0
10.0,90.3762030381816,274.1834095327012,190.97233483896923,3246.3264876552053,100.0,100.0411132690342,89.63979180563486,273.84179620181095,190.93991518309198,3243.9646085975533,87.37375402236023,274.31197272467443,192.12732622401342,3256.663510171012,35.5,35.5,0.0,0.0,TRACKING,,34.1,451,451,,121.15853923776783,184.05488733218738,3568.8,0.0
11.0,92.64957588941441,273.3230392046613,190.04055147274053,3236.979040368896,100.0,99.95453500913919,92.59061390870308,273.370780718396,190.0565652794155,3235.7133112231104,89.63979180563486,273.84179620181095,190.93991518309198,3243.9646085975533,35.5,35.5,0.0,0.0,TRACKING,,34.2,451,451,,122.17483754330709,187.61193140157482,3568.8,0.0
12.0,94.56796394560503,272.54596960852786,189.23637001052066,3228.297547889607,100.0,100.03998455520143,94.92421278867653,272.991553085669,189.3807517475756,3226.2519723211312,92.59061390870308,273.370780718396,190.0565652794155,3235.7133112231104,35.5,35.5,0.0,0.0,TRACKING,,34.300000000000004,451,451,,123.14157039560624,190.99549638462184,3568.8,0.0
13.0,96.18679771153971,271.844135598735,188.54231616966322,3220.234564557425,100.0,100.03099951398538,96.62578908181098,271.5934155895015,188.9379384478928,3217.5550960152314,94.92421278867653,272.991553085669,189.3807517475756,3226.2519723211312,35.5,35.5,0.0,0.0,TRACKING,,34.300000000000004,451,451,,124.0611551303447,194.21404295620647,3568.8,0.0
14.0,97.47214925504844,271.24203614555046,187.97425255551934,3212.905219001241,100.0,99.96663951268258,98.0208295769257,271.2320044182427,187.41231555486885,3212.1204703213243,96.62578908181098,271.5934155895015,188.9379384478928,3217.5550960152314,35.25,35.25,-0.25,0.0,TRACKING,,34.25,451,451,,124.926023759916,197.24108315970602,3568.8,0.0
15.0,98.55679449823243,270.6982317352051,187.48398170028278,3206.0980494740784,100.0,99.94972762608134,98.58925586549536,270.83462740478734,187.04199704405934,3203.3296168561656,98.0208295769257,271.2320044182427,187.41231555486885,3212.1204703213243,35.25,35.25,0.0,0.0,TRACKING,,34.2,451,451,,125.74871224869185,200.12049287042146,3568.8,0.0
16.0,99.47207352014907,270.20707826355374,187.06085037218915,3199.7758537723844,100.0,99.98129767574255,99.59182423985732,269.9737034551138,187.16682789746775,3201.67465257858,98.58925586549536,270.83462740478734,187.04199704405934,3203.3296168561656,35.25,35.25,0.0,0.0,TRACKING,,34.2,451,451,,126.53127774641345,202.85947211244707,3568.8,0.0
17.0,100.24443267926128,269.7634780864937,186.69566423293168,3193.9040801473816,100.0,99.95168464919792,99.2551602594507,269.8906721447525,187.24675536832277,3193.1602630364555,99.59182423985732,269.9737034551138,187.16682789746775,3201.67465257858,35.25,35.25,0.0,0.0,TRACKING,,34.15,451,451,,127.27567707444528,205.46486976055849,3568.8,0.0
18.0,100.57201933319996,269.48761002992427,186.5037518012187,3189.09009213147,100.0,99.98270936849912,100.08553058325742,269.86373194351404,186.61780273351235,3191.329799808414,99.2551602594507,269.8906721447525,187.24675536832277,3193.1602630364555,34.25,34.25,-1.0,0.0,TRACKING,,34.2,451,451,,127.94347004746874,207.80214516614058,3568.8,0.0
19.0,100.84845367345464,269.238451414944,186.33812057668018,3184.6190745931594,100.0,100.03414568405253,100.64132424742388,268.4975422780829,186.28861573256012,3183.5045042106312,100.08553058325742,269.86373194351404,186.61780273351235,3191.329799808414,34.25,34.25,0.0,0.0,TRACKING,,34.2,451,451,,128.57869437288343,210.02543030509202,3568.8,0.0
20.0,101.08172308035283,269.0134162434534,186.19517151237375,3180.4665927502856,100.0,100.04841828815988,101.54691737358138,269.110232667642,185.46128935777796,3177.4786850500277,100.64132424742388,268.4975422780829,186.28861573256012,3183.5045042106312,34.25,34.25,0.0,0.0,TRACKING,,34.15,451,451,,129.18293844237652,212.14028454831782,3568.8,0.0
21.0,101.19719611149705,268.8407660705442,186.1024864089859,3176.7704655444854,100.0,99.9662816659755,101.72746953344941,269.1806485792531,185.81437689432707,3176.7678435530675,101.54691737358138,269.110232667642,185.46128935777796,3177.4786850500277,34.0,34.0,-0.25,0.0,TRACKING,,34.0,451,451,,129.74742633179252,214.11599216127382,3568.8,0.0
22.0,101.29463814949759,268.6848318225087,186.0224939507924,3173.3376673101857,100.0,99.98818958626426,101.56198228176329,268.91903399043235,186.41680293904386,3173.9788813782397,101.72746953344941,269.1806485792531,185.81437689432707,3176.7678435530675,34.0,34.0,0.0,0.0,TRACKING,,33.9,451,451,,130.2843838219793,215.99534337692756,3568.8,0.0
23.0,101.29536558003298,268.5743484604851,185.9840927573582,3170.310201739272,100.0,99.95728695302748,101.23846857665188,268.4449244280912,186.45917701759817,3164.6830660515757,101.56198228176329,268.91903399043235,186.41680293904386,3173.9788813782397,33.75,33.75,-0.25,0.0,TRACKING,,33.800000000000004,451,451,,130.7847807524418,217.74673263354632,3568.8,0.0
24.0,101.29597942305044,268.4745620560623,185.95095036717808,3167.4984266331753,100.0,99.97463342946517,101.21278622799564,268.49106210805434,185.3095433347865,3168.3304606660204,101.23846857665188,268.4449244280912,186.45917701759817,3164.6830660515757,33.75,33.75,0.0,0.0,TRACKING,,33.75,451,451,,131.26077303662757,219.41270562819648,3568.8,0.0
25.0,101.29649741512219,268.3844369338245,185.92234662003847,3164.886975218757,100.0,99.98598484094485,100.90572880765615,268.8156593319824,185.86583018222302,3166.5598583207307,101.21278622799564,268.49106210805434,185.3095433347865,3168.3304606660204,33.75,33.75,0.0,0.0,TRACKING,,33.7,451,451,,131.71355090318036,220.99742816113127,3568.8,0.0
